,content,id,lat,location,lon,time,user,user_id
0,RT @DothTheDoth: Be the reason why the lights flicker when you enter a room,970859336108036096,,"Oregon, USA",,2018-03-06 03:11:18,Exalted_Morse,3195797209
1,RT @SurvivingGrady: Mark Hamill introducing himself to Gal Gadot is pretty much the highlight of the #Oscars https://t.co/86HrCM18Ut,970859335759917056,,Canada,,2018-03-06 03:11:17,mxaether,38187801
10,*ugly crying* https://t.co/JUfTe5JyrN,970859331804647424,,"Boston, MA",,2018-03-06 03:11:17,angrynebula,3031753722
100,"@ootoovak That is a wonderful idea. Important in its own right, but also useful when learning a new language or framework.",970859247482343424,,"Boston, MA",,2018-03-06 03:10:56,johnksawers,262259514
1000,RT @inarliswetrust: The owner. Give it back https://t.co/Xqf2ujROYu,970858519971975168,,2146972,,2018-03-06 03:08:03,The_DjJuiceDa55,403086649
1001,RT @SurvivingGrady: Mark Hamill introducing himself to Gal Gadot is pretty much the highlight of the #Oscars https://t.co/86HrCM18Ut,970858518776446976,,名古屋,,2018-03-06 03:08:03,YujiTsuruta,281416109
1002,I would love to find a movie buddy,970858518592081920,,"Boston, MA",,2018-03-06 03:08:03,realkathrynell,270567013
1003,RT @OnlyInBOS: How Big Papi’s ‘Sports Illustrated’ cover captured Boston’s journey from tragedy to triumph: https://t.co/Nk4pdcKxMq https:/…,970858516796903424,,"Boston, MA",,2018-03-06 03:08:02,maureen_ferrari,838650768
1004,RT @inarliswetrust: The owner. Give it back https://t.co/Xqf2ujROYu,970858516574625792,,〽️aryland,,2018-03-06 03:08:02,trapioli,797235782616543232
1005,Starting my first read of #MarchMysteryMadness https://t.co/71zxUr5vwY,970858515953848320,,"Boston, MA",,2018-03-06 03:08:02,evilqueenbooks,725409114680119296
1006,"I knew that's how @dave_filoni would ""end"" Captain Rex's story in #Rebels/#TheCloneWars)-by showing us Rex in an ou… https://t.co/MOVUxgnyVp",970858515454623744,,"Boston, MA",,2018-03-06 03:08:02,Mugsysam,25653324
1007,MFA ships a patriot to Philly to satisfy Super Bowl bet https://t.co/52ZJeTb3LA,970858514976473088,,"Boston, MA",,2018-03-06 03:08:02,BostonGlobe,95431448
1008,Tf did I just see https://t.co/mGjJv4aM1A,970858513957257216,,"Dorchester, MA",,2018-03-06 03:08:02,TaffaniR,546261395
1009,RT @petemrogers: I love Deion Sanders 😂😂 https://t.co/t1s5QQWKxE,970858513617575936,,"Conway, AR",,2018-03-06 03:08:01,the__mya,819042704516673536
101,Transgender jokes are so funny!!! Great human! https://t.co/ryEMwvyAKs,970859247180402688,,"Boston, MA",,2018-03-06 03:10:56,amandalabollita,56554449
1010,RT @Jonathan_Bush: This is what weighs down healthcare interactions &amp; experiences every single day. This is what we’re focused on fixing. #…,970858511281414144,,Washington DC,,2018-03-06 03:08:01,SPulim,27136797
1012,"RT @Nappygamer10: @Rustshack44 @M_A_X_X_X_ @Breaking911 When will you two have your sitcom, I can watch this back and forth every Tuesday a…",970858510140526592,,"Greenwood, South Carolina ",,2018-03-06 03:08:01,theboss169,399139160
1014,"@EconTalker pretend that, at some iteration of a future hell, your podcast has been flagged as ""illegal"", that's how important this is.",970858508911509504,,"Boston, MA",,2018-03-06 03:08:00,nosretep,10515102
1015,"RT @NBCSCeltics: F I N A L

#Celtics 105
#BullsNation 89

Stick around for Postgame Live w/ @tvabby &amp; @ChrisMannixYS 🍿

  📺: @NBCSBoston 
💻…",970858508156588032,,"Nunyabinez, Wakanda",,2018-03-06 03:08:00,Cutrolosophy,47401956
1016,RT @MarketingProfs: Five Tips to Help You Level-Up Headlines and Titles https://t.co/J8rg8kN2bN https://t.co/zaUs2RuTEB,970858507997237248,,"Seattle, WA",,2018-03-06 03:08:00,sanmar_corp,19578391
1017,@LeanderAlphabet @thrace Wow.  👎 Bad take dude.,970858506214625280,,"Boston, MA",,2018-03-06 03:08:00,LauraLjol2,2168792512
1018,Elias vs Braun #SymphonyOfDestruction #RAW,970858505799372800,,"Boston, MA",,2018-03-06 03:08:00,LNathan511,826531226102161408
1019,RT @NBCSCeltics: Keep your eye on Marcus Smart baseline 😂 https://t.co/0CISuMfzhm,970858505572937728,,"Boston, MA",,2018-03-06 03:08:00,NickCataloni,727546376
102,I liked a @YouTube video https://t.co/iDgywwq1ZG 【ドラゴンボール飯】【アニメ飯】,970859244697411584,,"Dorchester, MA",,2018-03-06 03:10:56,MartinMooreUSA,708771295870197760
1020,🤭 https://t.co/NZUnvbyKI6,970858505480687616,,"Cambridge, MA",,2018-03-06 03:08:00,MrGivan,371084911
1022,@katyspics both ❤️,970858501177266176,,"Boston, MA",,2018-03-06 03:07:59,guivitwl,2869585964
1024,@peterstringer I'm among them.,970858498476167168,,"Watertown, MA",,2018-03-06 03:07:58,NFLNewshound,123451070
1025,@DRUDGE_REPORT CNN=Trash,970858497180098560,,"Boston, MA",,2018-03-06 03:07:58,marthyjazz,1043445481
1026,RT @ThomCincotta: Thank goodness they didn’t edit that bullshit.  #BachelorFinale,970858496517386240,,"Houston, TX",,2018-03-06 03:07:57,Thunderclap,5799722
1027,"RT @My_2_bratz: @PatEnt07 @AP Although I aprove of what Trump has done so far I did not vote for him, I will be in 2020 though.",970858496513146880,,"Detroit, MI",,2018-03-06 03:07:57,SimsPatriot,941931141522690048
1028,RT @RedSox: #MOOD because there are only 2⃣4⃣ days 'til #OpeningDay! https://t.co/RB8tk0AiFK,970858495099785216,,"Mobile, AL",,2018-03-06 03:07:57,eli29251,968326040660660224
1029,Actual footage of me right now #TheBachelor #TheBachelorFinale https://t.co/xa6QWvCrCM,970858493820526592,,"Cambridge, MA",,2018-03-06 03:07:57,M_Clarkson91,1347556314
103,RT @RumiLoveQuotes: belong to no religion. My religion is love. Every heart is my temple.,970859244567388160,,Mars,,2018-03-06 03:10:56,KGARI99,922623889
1030,RT @onekade: Incredible story of how biometrics like DNA can tell confusing stories. German police hunted a woman for 15 years because her…,970858492826456064,,"Boston, MA",,2018-03-06 03:07:57,marcela_elisa,15873811
1031,"@hiwildflower ^ a word from the amazing audre lorde, of course",970858492067278848,,"Boston, MA",,2018-03-06 03:07:56,malecularmagik,801475892925124608
1032,How dare you insult Hector and his son https://t.co/GNW6YgeCnO,970858491454816256,,"Boston, MA",,2018-03-06 03:07:56,wassabi__bobby,54559306
1034,@ivy35k Where at?,970858487654895616,,"Boston, MA",,2018-03-06 03:07:55,aliki_koukla,4551572548
1035,RT @inarliswetrust: The owner. Give it back https://t.co/Xqf2ujROYu,970858486673403904,,"Atlanta, GA",,2018-03-06 03:07:55,QveenDenae,2917403105
1036,RT @_KevinSosa_: I could really use a hug rn,970858485549281280,,"Houston, TX",,2018-03-06 03:07:55,xokatherineee_,741285552704495616
1037,Soon to come: New Episode of Ladies Night Out Hosted by Christina A &amp; Julz Crown!!! Only on Royalty Radio 617!!! https://t.co/tORooXTatF,970858485171802112,,"Boston, MA",,2018-03-06 03:07:55,REGALMNGTTEAM,2498921502
1039,RT @irishrygirl: Teachers who are on strike in WV pooled their money together to make sure the 67% of kids who get free lunches will still…,970858481975791616,,"Rockville, MD",,2018-03-06 03:07:54,LW1023,826526876285952000
104,"@OGHAVANA @owenkane55 @iestyn5001 @Macho_Grande1 Once again, Jan, you nail it.",970859242277294080,,"Boston, MA",,2018-03-06 03:10:55,cfarrell_boxing,3181348329
1040,@honeychocolate9 @MPatsRedSox @MP_DESIGNS_Bx @billmcm67 @bill77ray @vanessa_frisoli @DLRodarte Good Night! Hugs! https://t.co/U4NSVqUwPe,970858481426169856,,"Boston, MA",,2018-03-06 03:07:54,BostonSprtsNews,753321800
1041,BuzzFeed News: Terror Content Must Be Cut From Social Media Within An Hour In EU. https://t.co/HFqHX3Rxe3,970858481149530112,,"Boston, MA",,2018-03-06 03:07:54,bsubra,80648956
